gmm_full,gmm_tied,gmm_diag,gmm_spherical,gmm_full_som,gmm_tied_som,gmm_diag_som,gmm_spherical_som,spectral,spectral_som,art,art_som,ng,ng_som,kmeans,kmeans2,kmeans_som
3,3,3,3,2,2,2,0,4,3,2,4,0,0,3,3,3
3,2,4,4,0,3,3,3,2,1,1,0,3,1,2,2,4
1,1,1,1,4,4,4,4,3,2,4,2,2,3,1,1,1
2,3,2,2,0,0,0,0,2,1,1,4,3,2,2,2,2
3,2,2,4,2,2,2,2,0,4,1,4,1,2,2,4,2
3,2,2,4,0,0,0,0,2,1,1,4,3,2,2,2,2
3,3,2,2,0,0,0,0,2,1,0,4,0,2,3,4,3
2,2,4,4,3,3,3,3,0,4,1,4,3,1,2,4,4
3,3,2,2,0,0,0,0,2,1,1,4,3,2,2,2,2
0,2,4,4,1,3,3,3,0,0,1,4,1,1,4,4,4
3,2,2,2,0,0,0,0,2,1,1,4,3,2,2,2,2
3,2,2,2,0,0,0,3,2,1,1,4,3,2,2,2,2
2,2,2,2,0,0,0,0,2,1,1,4,3,2,2,2,2
0,2,4,2,3,3,3,3,0,4,1,4,3,1,2,4,2
0,2,4,4,3,3,3,3,0,0,1,4,1,1,4,2,4
4,4,4,4,3,3,3,3,0,4,1,0,1,1,4,4,4
3,2,2,2,0,0,0,0,2,1,1,4,3,2,2,2,2
3,2,2,2,0,3,0,0,2,1,1,4,3,2,2,2,2
3,3,2,2,0,0,0,0,2,4,1,4,3,2,2,4,2
3,4,4,4,0,3,3,3,2,1,1,0,1,1,4,2,4
0,2,4,4,3,3,3,3,2,0,1,4,1,1,4,2,4
1,1,1,1,4,4,4,4,1,2,3,2,2,3,1,1,1
3,2,0,0,2,2,2,2,4,4,1,1,4,0,0,0,0
3,2,4,4,3,3,3,3,0,4,1,0,1,1,4,4,4
3,4,4,4,0,3,3,3,2,1,1,0,3,1,2,2,4
2,4,4,2,0,0,0,0,2,1,1,4,3,2,2,2,2
3,4,4,0,1,2,1,1,2,0,1,1,1,4,4,0,4
3,0,4,4,1,2,1,1,2,0,1,1,1,4,4,0,4
0,2,2,2,0,3,0,0,2,1,1,4,3,2,2,2,2
3,2,2,2,0,0,0,0,2,1,1,4,3,2,2,2,2
3,4,4,4,3,2,3,3,2,0,1,0,1,1,4,0,4
2,2,3,2,0,3,2,0,2,1,1,4,3,0,2,2,2
3,3,3,3,2,2,2,0,4,3,0,4,0,0,3,3,3
3,2,3,3,2,2,2,2,4,3,2,1,0,0,3,3,3
0,0,0,0,1,1,1,1,4,3,2,1,4,4,0,3,0
3,3,3,3,2,2,2,2,4,3,0,1,0,0,3,3,3
3,3,3,3,2,2,2,2,4,3,0,1,0,0,3,3,3
3,3,3,2,2,0,2,2,0,4,1,4,0,2,3,4,2
3,2,3,3,2,2,2,0,4,3,2,1,0,0,3,3,3
3,3,3,3,2,2,2,2,4,3,2,1,0,0,3,3,3
3,3,3,3,2,2,2,2,4,3,0,1,0,0,3,3,3
0,0,0,0,2,2,2,2,4,4,2,1,4,4,0,3,0
0,0,0,0,1,1,1,1,4,4,2,1,4,4,0,3,0
3,0,3,3,2,2,2,2,4,3,2,1,0,0,3,3,3
3,2,3,2,2,2,2,2,2,4,1,1,3,1,2,2,0
0,0,0,0,1,1,1,1,4,3,2,1,4,4,0,3,0
3,0,0,3,1,2,2,1,4,3,2,1,0,4,3,3,0
0,0,0,0,1,1,1,1,4,3,2,1,4,4,0,3,0
3,0,3,3,2,2,2,2,4,3,2,1,0,0,3,3,3
3,0,3,3,2,2,2,0,4,3,2,1,0,0,3,3,3
